time,open,high,low,close,Plot,Plot,Regression Line Current Value,Volume,Volume MA
2023-08-13T18:00:00-04:00,4485,4487.75,4483,4487.25,NaN,NaN,4487.25,1135,NaN
2023-08-13T18:01:00-04:00,4487.25,4491.5,4487,4490,NaN,NaN,4489.9863868125,1142,NaN
2023-08-13T18:02:00-04:00,4489.75,4490.25,4488.75,4490,NaN,NaN,4489.986523625,257,NaN
2023-08-13T18:03:00-04:00,4489.75,4490,4488.75,4488.75,NaN,NaN,4488.754856375,215,NaN
2023-08-13T18:04:00-04:00,4489,4489,4488.5,4489,NaN,NaN,4489.0000045,133,NaN
2023-08-13T18:05:00-04:00,4489.25,4489.25,4488.5,4488.75,NaN,4488.627777777778,4488.7559509375005,111,NaN
2023-08-13T18:06:00-04:00,4488.75,4489,4487.5,4487.5,NaN,4487.777777777778,4487.541208625,293,NaN
2023-08-13T18:07:00-04:00,4487.25,4487.5,4486.5,4487,NaN,4486.766666666667,4487.0571029375,335,NaN
2023-08-13T18:08:00-04:00,4487,4488.25,4486.5,4488,NaN,4487.177777777778,4488.0195825,153,NaN
2023-08-13T18:09:00-04:00,4488,4488,4487.5,4487.75,NaN,4487.822222222222,4487.779657125,79,NaN
2023-08-13T18:10:00-04:00,4487.75,4487.75,4487,4487,4487.128703703704,4487.366666666666,4487.06327875,61,NaN
2023-08-13T18:11:00-04:00,4487.25,4488.25,4487,4487.5,4487.190740740741,4487.166666666667,4487.53796525,258,NaN
2023-08-13T18:12:00-04:00,4487.5,4487.75,4486.75,4487.25,4487.1712962962965,4487.261111111111,4487.300861,127,NaN
2023-08-13T18:13:00-04:00,4487.5,4488.75,4487.5,4488.75,4487.613888888889,4488.227777777777,4488.714658875,135,NaN
2023-08-13T18:14:00-04:00,4488.75,4489.75,4488,4489.75,4488.541666666667,4489.788888888889,4489.65413125,219,NaN
2023-08-13T18:15:00-04:00,4489.75,4490,4488.5,4489.5,4489.431481481482,4490.233333333333,4489.421289062499,200,NaN
2023-08-13T18:16:00-04:00,4489.5,4490.25,4489,4489.5,4489.983333333334,4489.86111111111,4489.422125,212,NaN
2023-08-13T18:17:00-04:00,4489.75,4489.75,4489.25,4489.5,4490.106481481482,4489.577777777778,4489.4229609375,91,NaN
2023-08-13T18:18:00-04:00,4489.25,4490.25,4489.25,4489.75,4490.055555555556,4489.6611111111115,4489.654982374999,265,NaN
2023-08-13T18:19:00-04:00,4489.75,4489.75,4488.75,4488.75,4489.672222222222,4489.144444444444,4488.7346878125,90,275.55
2023-08-13T18:20:00-04:00,4489,4489.25,4488.5,4488.75,4489.2037037037035,4488.549999999999,4488.73486875,61,221.85
2023-08-13T18:21:00-04:00,4488.75,4489.5,4488.5,4488.75,4488.794444444445,4488.511111111111,4488.7350496875,111,170.3
2023-08-13T18:22:00-04:00,4488.75,4489.75,4488.5,4489.5,4488.792592592593,4489.144444444445,4489.418884125001,100,162.45
2023-08-13T18:23:00-04:00,4489.5,4490.5,4489.5,4490.5,4489.364814814815,4490.344444444444,4490.328207562499,164,159.9
2023-08-13T18:24:00-04:00,4490.5,4491,4490.5,4491,4490.248148148148,4491.299999999999,4490.7828125,156,161.05
2023-08-13T18:25:00-04:00,4491,4491,4490.25,4490.5,4490.873148148148,4491.150000000001,4490.3341015625,111,161.05
2023-08-13T18:26:00-04:00,4490.75,4490.75,4490.25,4490.25,4491.014814814815,4490.461111111111,4490.111164125,53,149.05
2023-08-13T18:27:00-04:00,4490.5,4490.75,4490.5,4490.75,4490.961111111111,4490.461111111111,4490.5610600625005,77,136.15
2023-08-13T18:28:00-04:00,4490.75,4491.5,4490.75,4491.25,4491.019444444445,4491.105555555555,4491.01013125,143,135.65
2023-08-13T18:29:00-04:00,4491,4491.25,4490.5,4491,4491.124074074073,4491.31111111111,4490.79021025,101,136.75
2023-08-13T18:30:00-04:00,4491,4491.25,4490.75,4490.75,4491.125925925927,4490.95,4490.570655,88,138.1
2023-08-13T18:31:00-04:00,4490.75,4490.75,4490.25,4490.25,4490.8592592592595,4490.35,4490.130042375,56,128
2023-08-13T18:32:00-04:00,4490.25,4490.5,4490,4490.5,4490.574074074074,4490.200000000001,4490.352328,15,122.4
2023-08-13T18:33:00-04:00,4490.25,4490.75,4490.25,4490.75,4490.468518518518,4490.566666666667,4490.5743140625,43,117.8
2023-08-13T18:34:00-04:00,4490.75,4490.75,4490.25,4490.25,4490.37962962963,4490.48888888889,4490.137541125,65,110.1
2023-08-13T18:35:00-04:00,4490.25,4490.25,4490,4490,4490.227777777777,4490.033333333333,4489.920166875,50,102.6
2023-08-13T18:36:00-04:00,4490,4490.25,4490,4490,4490.037037037037,4489.833333333333,4489.9213145,54,94.7
2023-08-13T18:37:00-04:00,4490.25,4490.5,4490,4490.25,4489.968518518518,4490.05,4490.1401588125,35,91.9
2023-08-13T18:38:00-04:00,4490,4490.5,4490,4490.25,4490.024074074074,4490.277777777777,4490.141683375,46,80.95
2023-08-13T18:39:00-04:00,4490.25,4490.25,4489.75,4490,4490.061111111111,4490.144444444443,4489.9266528749995,74,80.15
2023-08-13T18:40:00-04:00,4490,4490.5,4489.75,4490,4490.047222222222,4489.961111111111,4489.927785,70,80.6
2023-08-13T18:41:00-04:00,4490,4490,4489.75,4490,4489.997222222221,4489.938888888889,4489.928917125,39,77
2023-08-13T18:42:00-04:00,4489.75,4489.75,4489.5,4489.75,4489.887037037036,4489.805555555555,4489.71512975,52,74.6
2023-08-13T18:43:00-04:00,4489.75,4490,4489.75,4490,4489.852777777778,4489.844444444444,4489.9302404375,35,68.15
2023-08-13T18:44:00-04:00,4490,4490,4490,4490,4489.873148148148,4490,4489.93137975,5,60.6
2023-08-13T18:45:00-04:00,4489.75,4490.75,4489.75,4490.5,4490.079629629629,4490.372222222221,4490.3592534375,68,58.45
2023-08-13T18:46:00-04:00,4490.5,4490.5,4490,4490,4490.190740740741,4490.322222222222,4489.935531625,56,58.6
2023-08-13T18:47:00-04:00,4490,4490,4489.5,4489.5,4490.044444444445,4489.672222222222,4489.5119101875,36,56.55
2023-08-13T18:48:00-04:00,4489.5,4489.75,4489.5,4489.75,4489.831481481481,4489.455555555556,4489.7240249999995,69,52.85
2023-08-13T18:49:00-04:00,4489.5,4489.75,4489.25,4489.75,4489.65925925926,4489.638888888889,4489.7247078125,40,49.8
