time,open,high,low,close,Plot,Plot,Volume,Volume MA
2023-07-02T20:14:00-04:00,15336.5,15337.75,15335.75,15336.25,15338.563562091504,15336.558333333334,77,91.55
2023-07-02T20:15:00-04:00,15336.5,15339.25,15336,15338.75,15337.060886437908,15335.543518518518,95,95.55
2023-07-02T20:16:00-04:00,15338.5,15339.75,15338,15339.5,15336.303206699347,15336.207407407406,65,98.1
2023-07-02T20:17:00-04:00,15339.75,15340,15338.25,15338.25,15336.027553104574,15337.328703703703,29,98.35
2023-07-02T20:18:00-04:00,15338.25,15338.5,15336,15336.75,15335.841687091504,15337.67314814815,67,98.35
2023-07-02T20:19:00-04:00,15336.5,15337.5,15335.25,15337.25,15335.758231209149,15337.437037037036,93,98.05
2023-07-02T20:20:00-04:00,15337.25,15338,15335.75,15337.25,15335.816074346405,15337.064814814816,51,94.25
2023-07-02T20:21:00-04:00,15337.5,15338,15334.75,15335,15335.72404003268,15336.230555555556,101,90.8
2023-07-02T20:22:00-04:00,15335,15337,15335,15336.25,15335.674836601309,15335.716666666665,30,85.15
2023-07-02T20:23:00-04:00,15336,15336,15335.25,15335.25,15335.46437908497,15335.20462962963,17,82.9
2023-07-02T20:24:00-04:00,15335.75,15336.25,15335.25,15335.5,15335.210130718953,15335.002777777778,21,79
2023-07-02T20:25:00-04:00,15335.75,15336.5,15335.5,15336,15335.089481209148,15335.18148148148,18,74.75
2023-07-02T20:26:00-04:00,15336,15337,15334.75,15336.5,15335.151654411766,15335.651851851851,42,73.65
2023-07-02T20:27:00-04:00,15336.25,15339,15335.5,15335.5,15335.218892973859,15335.881481481481,80,74.8
2023-07-02T20:28:00-04:00,15335,15335,15333.75,15334.75,15335.170894607843,15335.621296296296,57,71.3
2023-07-02T20:29:00-04:00,15334.5,15335,15333.75,15335,15335.083210784313,15335.19259259259,29,67.5
2023-07-02T20:30:00-04:00,15335.5,15335.75,15333.75,15334.25,15334.868974673203,15334.607407407408,37,65.25
2023-07-02T20:31:00-04:00,15333.75,15336.5,15333.75,15336.25,15334.893259803921,15334.77962962963,27,63.3
2023-07-02T20:32:00-04:00,15336.75,15337.25,15336.25,15336.75,15335.145302287583,15335.521296296298,31,59.05
2023-07-02T20:33:00-04:00,15337.25,15338,15336.25,15337.75,15335.643423202613,15336.70185185185,144,55.55
2023-07-02T20:34:00-04:00,15337.75,15338,15335.5,15335.75,15336.00377859477,15337.135185185185,76,55.5
2023-07-02T20:35:00-04:00,15335.75,15336.75,15335.5,15336.25,15336.273243464053,15337.037962962966,34,52.45
2023-07-02T20:36:00-04:00,15336.75,15336.75,15335,15335,15336.29183006536,15336.277777777776,35,50.95
2023-07-02T20:37:00-04:00,15335,15337.25,15335,15336.25,15336.288480392157,15335.809259259258,32,51.1
2023-07-02T20:38:00-04:00,15337.25,15338,15337,15337,15336.400755718952,15335.969444444445,29,49.2
2023-07-02T20:39:00-04:00,15337.5,15338.75,15337.5,15338,15336.670159313722,15336.769444444444,51,47.1
2023-07-02T20:40:00-04:00,15338.25,15339.25,15336,15336,15336.77595996732,15337.098148148149,55,47.3
2023-07-02T20:41:00-04:00,15336,15336.75,15335.75,15336.5,15336.800469771242,15337.050925925927,18,43.15
